time,wx,wy,wz
2.931,0.23,-0.25,0.18
2.937,0.32,-0.36,0.25
2.941,0.42,-0.43,0.33
2.946,0.49,-0.42,0.48
2.950,0.58,-0.29,0.77
2.955,0.71,-0.02,1.18
2.960,0.83,0.26,1.62
2.967,0.89,0.46,2.01
2.970,0.92,0.59,2.31
2.976,0.84,0.64,2.48
2.981,0.62,0.57,2.48
2.985,0.40,0.46,2.35
2.991,0.27,0.42,2.19
2.996,0.26,0.53,2.08
3.001,0.32,0.73,2.06
3.006,0.41,0.94,2.17
3.010,0.45,1.09,2.43
3.016,0.46,1.19,2.75
3.021,0.41,1.25,2.98
3.026,0.37,1.30,3.16
3.031,0.27,1.35,3.24
3.036,0.20,1.33,3.16
3.041,0.20,1.35,2.89
3.046,0.50,1.38,2.65
3.051,0.93,1.50,2.70
3.057,1.19,1.89,3.04
3.061,1.40,2.36,3.52
3.072,1.38,2.90,3.95
3.074,1.06,3.36,4.15
3.078,0.61,3.49,4.03
3.081,0.22,3.25,3.75
3.090,-0.08,2.78,3.44
3.091,-0.30,2.19,3.16
3.096,-0.40,1.54,2.94
3.103,-0.40,0.92,2.77
3.106,-0.34,0.36,2.64
3.111,-0.25,-0.10,2.49
3.116,-0.18,-0.44,2.32
3.121,-0.14,-0.62,2.16
3.126,-0.14,-0.66,2.01
3.131,-0.13,-0.61,1.85
3.136,-0.12,-0.46,1.68
3.141,-0.07,-0.25,1.48
3.146,0.01,-0.04,1.28
3.151,0.13,0.11,1.06
3.156,0.25,0.20,0.85
3.161,0.37,0.22,0.64
3.172,0.47,0.16,0.43
3.173,0.54,0.06,0.22
3.177,0.56,-0.04,0.04
3.181,0.54,-0.10,-0.06
3.194,0.52,-0.14,-0.11
3.195,0.62,-0.26,-0.22
3.196,0.71,-0.32,-0.30
3.207,0.71,-0.28,-0.33
3.207,0.67,-0.16,-0.34
3.211,0.61,-0.03,-0.33
3.216,0.57,0.07,-0.32
3.221,0.55,0.13,-0.30
3.226,0.54,0.15,-0.28
3.230,0.51,0.09,-0.23
3.236,0.48,-0.03,-0.17
3.241,0.45,-0.15,-0.08
3.246,0.45,-0.23,-0.01
3.251,0.49,-0.31,-0.00
3.257,0.57,-0.40,-0.03
3.261,0.65,-0.45,-0.07
3.272,0.72,-0.45,-0.09
3.273,0.77,-0.39,-0.11
3.276,0.80,-0.26,-0.11
3.281,0.82,-0.10,-0.11
3.293,0.83,0.04,-0.11
3.293,0.86,0.15,-0.12
3.297,0.88,0.23,-0.13
3.305,0.91,0.26,-0.12
3.307,0.96,0.24,-0.10
3.311,1.02,0.21,-0.09
3.316,1.10,0.17,-0.07
3.321,1.18,0.16,-0.04
3.326,1.27,0.21,0.01
3.331,1.35,0.28,0.05
3.336,1.40,0.32,0.08
3.341,1.42,0.35,0.07
3.346,1.44,0.37,0.05
3.351,1.46,0.36,0.03
3.356,1.48,0.35,0.01
3.361,1.49,0.32,-0.00
3.373,1.50,0.27,-0.02
3.374,1.51,0.20,-0.03
3.378,1.52,0.10,-0.04
3.381,1.52,0.00,-0.06
3.392,1.53,-0.10,-0.08
3.393,1.53,-0.19,-0.09
3.397,1.53,-0.25,-0.11
3.411,1.54,-0.26,-0.14
3.412,1.55,-0.22,-0.16
3.413,1.56,-0.13,-0.19
3.431,1.58,-0.01,-0.21
3.432,1.60,0.12,-0.23
3.433,1.64,0.26,-0.24
3.434,1.69,0.38,-0.24
3.437,1.73,0.47,-0.24
3.442,1.77,0.51,-0.24
3.447,1.80,0.53,-0.24
3.456,1.82,0.52,-0.25
3.458,1.83,0.49,-0.25
3.461,1.83,0.44,-0.25
3.473,1.83,0.37,-0.23
3.473,1.83,0.32,-0.22
3.476,1.83,0.27,-0.21
3.481,1.82,0.22,-0.21
3.487,1.82,0.18,-0.21
3.491,1.81,0.15,-0.21
3.496,1.80,0.15,-0.21
3.501,1.80,0.19,-0.20
3.506,1.80,0.25,-0.20
3.511,1.80,0.29,-0.20
3.517,1.80,0.35,-0.19
3.521,1.80,0.42,-0.18
3.526,1.80,0.49,-0.15
3.531,1.82,0.54,-0.11
3.537,1.82,0.60,-0.12
3.541,1.81,0.64,-0.15
3.546,1.80,0.64,-0.17
3.552,1.77,0.63,-0.19
3.557,1.74,0.61,-0.22
3.562,1.70,0.57,-0.24
3.574,1.64,0.50,-0.27
3.574,1.58,0.41,-0.29
3.577,1.52,0.32,-0.30
3.581,1.49,0.23,-0.29
3.593,1.47,0.15,-0.29
3.593,1.47,0.12,-0.28
3.597,1.47,0.11,-0.27
3.604,1.44,0.13,-0.27
3.607,1.41,0.16,-0.28
3.611,1.36,0.18,-0.28
3.617,1.30,0.21,-0.28
3.621,1.26,0.25,-0.27
3.626,1.23,0.29,-0.26
3.631,1.20,0.31,-0.25
3.636,1.18,0.33,-0.24
3.641,1.16,0.33,-0.23
3.646,1.14,0.32,-0.22
3.652,1.13,0.30,-0.22
3.657,1.11,0.27,-0.21
3.662,1.07,0.23,-0.20
3.674,1.02,0.18,-0.18
3.675,0.96,0.12,-0.16
3.677,0.90,0.06,-0.14
3.682,0.84,0.02,-0.12
3.694,0.80,-0.00,-0.09
3.695,0.77,-0.00,-0.06
3.697,0.73,0.02,-0.04
3.707,0.67,0.04,-0.03
3.708,0.63,0.06,-0.02
3.711,0.58,0.07,-0.00
3.718,0.53,0.06,0.00
3.722,0.48,0.05,-0.00
3.726,0.43,0.04,-0.01
3.731,0.38,0.04,-0.03
3.736,0.34,0.03,-0.04
3.741,0.29,0.02,-0.05
3.746,0.23,-0.00,-0.07
3.752,0.17,-0.04,-0.08
3.757,0.12,-0.09,-0.10
3.762,0.09,-0.15,-0.12
3.773,0.07,-0.22,-0.14
3.774,0.06,-0.25,-0.15
3.778,0.06,-0.27,-0.14
3.783,0.05,-0.24,-0.11
3.793,0.03,-0.14,-0.08
3.794,-0.00,-0.03,-0.04
3.797,-0.03,0.04,-0.00
3.805,-0.05,0.08,0.03
3.807,-0.06,0.08,0.04
3.812,-0.09,0.05,0.03
3.817,-0.11,0.00,0.01
3.822,-0.11,-0.04,-0.02
3.826,-0.09,-0.05,-0.04
3.832,-0.03,-0.05,-0.06
3.837,0.05,-0.03,-0.07
3.842,0.13,0.04,-0.07
3.846,0.18,0.11,-0.05
3.852,0.20,0.17,-0.03
3.857,0.19,0.21,-0.00
3.861,0.17,0.23,0.01
3.872,0.16,0.24,0.02
3.873,0.14,0.24,0.02
3.877,0.11,0.24,0.03
3.882,0.08,0.23,0.04
3.894,0.05,0.21,0.06
3.894,0.01,0.20,0.08
3.897,-0.02,0.17,0.08
3.907,-0.04,0.14,0.08
3.908,-0.06,0.11,0.08
3.912,-0.06,0.08,0.08
3.920,-0.07,0.07,0.08
3.922,-0.09,0.07,0.09
3.927,-0.10,0.06,0.10
3.932,-0.12,0.07,0.11
3.939,-0.14,0.07,0.13
3.942,-0.15,0.07,0.15
