time,wx,wy,wz
3.615,3.08,-2.05,2.14
3.616,3.07,-2.43,2.17
3.618,3.08,-2.71,2.18
3.626,3.01,-2.88,2.23
3.628,2.81,-2.84,2.31
3.633,2.41,-2.50,2.40
3.639,1.91,-2.06,2.51
3.650,1.44,-1.39,2.58
3.651,1.04,-0.65,2.56
3.655,0.77,-0.27,2.53
3.672,0.62,-0.12,2.51
3.673,0.59,-0.01,2.45
3.673,0.72,0.15,2.32
3.674,0.92,0.36,2.11
3.682,1.07,0.57,1.84
3.682,1.14,0.76,1.53
3.688,1.17,0.90,1.18
3.694,1.17,0.98,0.77
3.698,1.15,1.05,0.29
3.702,1.10,1.14,-0.24
3.708,1.05,1.18,-0.79
3.713,1.00,1.19,-1.28
3.718,0.93,1.23,-1.60
3.722,0.84,1.27,-1.73
3.729,0.76,1.34,-1.72
3.733,0.64,1.47,-1.63
3.738,0.54,1.50,-1.49
3.749,0.47,1.43,-1.30
3.750,0.38,1.35,-1.12
3.755,0.25,1.29,-0.95
3.772,0.10,1.25,-0.79
3.773,-0.05,1.15,-0.63
3.773,-0.18,1.00,-0.47
3.774,-0.31,0.87,-0.31
3.785,-0.43,0.82,-0.17
3.785,-0.53,0.84,-0.06
3.788,-0.62,0.90,0.05
3.796,-0.68,0.94,0.16
3.798,-0.76,0.96,0.26
3.803,-0.84,1.02,0.35
3.809,-0.93,1.10,0.43
3.813,-1.03,1.18,0.50
3.818,-1.14,1.25,0.56
3.823,-1.27,1.28,0.62
3.829,-1.39,1.27,0.69
3.833,-1.49,1.17,0.79
3.838,-1.53,0.81,0.93
3.844,-1.56,0.46,1.07
3.848,-1.67,0.57,1.15
3.853,-1.72,0.94,1.18
3.860,-1.54,1.20,1.20
3.863,-1.19,1.22,1.14
3.869,-0.75,0.99,0.99
3.874,-0.27,0.62,0.73
3.880,0.21,0.19,0.39
3.883,0.51,-0.19,0.11
3.888,0.48,-0.57,-0.08
3.894,0.20,-0.99,-0.25
3.898,-0.17,-1.20,-0.47
3.903,-0.50,-0.92,-0.78
3.909,-0.65,-0.43,-1.16
