time,wx,wy,wz
3.490,0.44,0.27,0.16
3.495,0.40,0.15,0.14
3.500,0.34,0.03,0.10
3.505,0.27,-0.08,0.05
3.511,0.21,-0.17,-0.00
3.521,0.17,-0.23,-0.04
3.521,0.13,-0.29,-0.08
3.526,0.11,-0.35,-0.10
3.541,0.07,-0.44,-0.12
3.542,-0.01,-0.58,-0.10
3.542,-0.07,-0.67,-0.04
3.545,-0.12,-0.73,0.03
3.552,-0.18,-0.79,0.10
3.555,-0.26,-0.88,0.14
3.560,-0.33,-0.97,0.17
3.565,-0.38,-1.03,0.21
3.570,-0.42,-1.10,0.26
3.575,-0.44,-1.16,0.31
3.581,-0.42,-1.13,0.37
3.585,-0.36,-1.04,0.41
3.590,-0.29,-0.98,0.44
3.595,-0.21,-0.87,0.48
3.600,-0.12,-0.73,0.51
3.606,-0.05,-0.67,0.54
3.611,-0.01,-0.62,0.58
3.620,0.04,-0.57,0.60
3.621,0.10,-0.42,0.63
3.625,0.21,-0.19,0.65
3.642,0.31,-0.02,0.66
3.643,0.35,-0.02,0.67
3.644,0.35,-0.10,0.66
3.645,0.32,-0.21,0.66
3.654,0.28,-0.31,0.65
3.656,0.26,-0.37,0.63
3.660,0.25,-0.40,0.61
3.665,0.24,-0.41,0.58
3.671,0.22,-0.44,0.56
3.675,0.22,-0.46,0.54
3.682,0.21,-0.48,0.52
3.685,0.22,-0.48,0.50
3.690,0.23,-0.48,0.49
3.695,0.24,-0.49,0.47
3.700,0.24,-0.51,0.46
3.706,0.24,-0.52,0.45
3.711,0.23,-0.53,0.43
3.721,0.22,-0.54,0.42
3.722,0.21,-0.54,0.41
3.726,0.19,-0.56,0.40
3.742,0.16,-0.59,0.38
3.742,0.14,-0.60,0.37
3.742,0.13,-0.59,0.34
3.745,0.13,-0.57,0.33
3.758,0.13,-0.54,0.31
3.758,0.13,-0.52,0.29
3.760,0.13,-0.51,0.27
3.774,0.13,-0.49,0.25
3.775,0.13,-0.48,0.24
3.775,0.13,-0.47,0.22
3.786,0.14,-0.44,0.21
3.787,0.13,-0.44,0.20
3.791,0.11,-0.44,0.19
3.796,0.10,-0.44,0.18
3.801,0.09,-0.44,0.17
3.806,0.07,-0.44,0.15
3.811,0.06,-0.43,0.14
3.823,0.05,-0.42,0.12
3.824,0.03,-0.41,0.10
3.826,0.01,-0.40,0.08
3.831,-0.01,-0.38,0.07
3.845,-0.02,-0.36,0.06
3.846,-0.04,-0.35,0.05
3.846,-0.05,-0.33,0.04
3.859,-0.06,-0.32,0.03
3.860,-0.06,-0.30,0.02
3.861,-0.06,-0.29,0.01
3.873,-0.06,-0.29,-0.01
3.874,-0.06,-0.28,-0.01
3.876,-0.06,-0.27,-0.01
3.883,-0.05,-0.26,-0.02
3.886,-0.05,-0.26,-0.03
3.891,-0.05,-0.26,-0.03
3.896,-0.04,-0.25,-0.04
3.902,-0.04,-0.24,-0.05
3.907,-0.03,-0.24,-0.06
3.911,-0.05,-0.26,-0.06
3.924,-0.06,-0.26,-0.07
3.925,-0.06,-0.26,-0.07
3.926,-0.06,-0.25,-0.07
